STATE_NAME,STALP,GeoFIPS,SUMLEVEL,REGION,DIVISION,REGION_NAME,DIVISION_NAME
Alabama,AL,1,40,3,6,South,East South Central
Alaska,AK,2,40,4,9,West,Pacific
Arizona,AZ,4,40,4,8,West,Mountain
Arkansas,AR,5,40,3,7,South,West South Central
California,CA,6,40,4,9,West,Pacific
Colorado,CO,8,40,4,8,West,Mountain
Connecticut,CT,9,40,1,1,Northeast,New England
Delaware,DE,10,40,3,5,South,South Atlantic
District of Columbia,DC,11,40,3,5,South,South Atlantic
Florida,FL,12,40,3,5,South,South Atlantic
Georgia,GA,13,40,3,5,South,South Atlantic
Hawaii,HI,15,40,4,9,West,Pacific
Idaho,ID,16,40,4,8,West,Mountain
Illinois,IL,17,40,2,3,Midwest,East North Central
Indiana,IN,18,40,2,3,Midwest,East North Central
Iowa,IA,19,40,2,4,Midwest,West North Central
Kansas,KS,20,40,2,4,Midwest,West North Central
Kentucky,KY,21,40,3,6,South,East South Central
Louisiana,LA,22,40,3,7,South,West South Central
Maine,ME,23,40,1,1,Northeast,New England
Maryland,MD,24,40,3,5,South,South Atlantic
Massachusetts,MA,25,40,1,1,Northeast,New England
Michigan,MI,26,40,2,3,Midwest,East North Central
Minnesota,MN,27,40,2,4,Midwest,West North Central
Mississippi,MS,28,40,3,6,South,East South Central
Missouri,MO,29,40,2,4,Midwest,West North Central
Montana,MT,30,40,4,8,West,Mountain
Nebraska,NE,31,40,2,4,Midwest,West North Central
Nevada,NV,32,40,4,8,West,Mountain
New Hampshire,NH,33,40,1,1,Northeast,New England
New Jersey,NJ,34,40,1,2,Northeast,Middle Atlantic
New Mexico,NM,35,40,4,8,West,Mountain
New York,NY,36,40,1,2,Northeast,Middle Atlantic
North Carolina,NC,37,40,3,5,South,South Atlantic
North Dakota,ND,38,40,2,4,Midwest,West North Central
Ohio,OH,39,40,2,3,Midwest,East North Central
Oklahoma,OK,40,40,3,7,South,West South Central
Oregon,OR,41,40,4,9,West,Pacific
Pennsylvania,PA,42,40,1,2,Northeast,Middle Atlantic
Rhode Island,RI,44,40,1,1,Northeast,New England
South Carolina,SC,45,40,3,5,South,South Atlantic
South Dakota,SD,46,40,2,4,Midwest,West North Central
Tennessee,TN,47,40,3,6,South,East South Central
Texas,TX,48,40,3,7,South,West South Central
Utah,UT,49,40,4,8,West,Mountain
Vermont,VT,50,40,1,1,Northeast,New England
Virginia,VA,51,40,3,5,South,South Atlantic
Washington,WA,53,40,4,9,West,Pacific
West Virginia,WV,54,40,3,5,South,South Atlantic
Wisconsin,WI,55,40,2,3,Midwest,East North Central
Wyoming,WY,56,40,4,8,West,Mountain
